trait	Q1_index	Q2_index	Q1_chr	Q1_pos	Q2_chr	Q2_pos	LOD	lm_coefficient	variance_explained	closest.additive.Q1	closest.additive.Q2	number of interactors that are not additve QTL
CobaltChloride	20568	23483	chrXIII	13364	chrXIV	481081	12.54416126	0.087242447	0.007293723	20568	23486	0
CobaltChloride	20636	22580	chrXIII	45801	chrXIII	905868	9.121331017	-0.060332591	0.004115133	20568	22580	0
CobaltChloride	15105	19106	chrX	656567	chrXII	676937	8.48615152	0.067326889	0.004958455	15105	19033	0
CobaltChloride	15105	20656	chrX	656567	chrXIII	50109	6.362160773	-0.053022774	0.003182464	15105	20568	0
CobaltChloride	3146	19033	chrIII	67820	chrXII	657536	5.353374387	-0.05065967	0.002865409	3211	19033	0
CobaltChloride	19033	23543	chrXII	657536	chrXIV	516034	4.776004528	-0.05204303	0.002741672	19033	23595	0
CobaltChloride	18962	25755	chrXII	627201	chrXV	561511	4.729380249	-0.048317943	0.00265189	19033	25755	0
CobaltChloride	21364	23486	chrXIII	284443	chrXIV	485549	4.335696059	-0.040466987	0.001753049	20568	23486	1
CobaltChloride	19014	20568	chrXII	646705	chrXIII	13364	4.029278531	-0.038139001	0.001576453	19033	20568	0
CobaltChloride	576	18996	chrI	194101	chrXII	640445	4.019014487	0.049321336	0.002470855	576	19033	0
CobaltChloride	645	6733	chrI	203386	chrV	196326	3.993933347	0.041073849	0.001606314	576	6733	0
CobaltChloride	12201	18492	chrIX	88444	chrXII	369495	3.90119927	-0.042927347	0.001806533	12492	18492	1
CobaltChloride	12622	20568	chrIX	247681	chrXIII	13364	3.766689146	-0.046516994	0.002141228	12492	20568	0
CopperSulfate	11461	19025	chrVIII	209176	chrXII	649837	27.37116391	0.123058793	0.014899436	11463	19025	0
CopperSulfate	11463	20657	chrVIII	210710	chrXIII	50514	22.45068968	-0.100915189	0.012123878	11463	20656	0
CopperSulfate	17471	20656	chrXI	610937	chrXIII	50109	20.11951317	-0.088860524	0.009990076	17510	20656	0
CopperSulfate	11458	23288	chrVIII	208566	chrXIV	385702	19.83759329	0.086830864	0.008652581	11463	23288	0
CopperSulfate	19020	23288	chrXII	647936	chrXIV	385702	17.89151255	-0.094704117	0.010120459	19025	23288	0
CopperSulfate	20694	23288	chrXIII	56369	chrXIV	385702	15.89936331	0.096306823	0.00907871	20656	23288	0
CopperSulfate	19025	20650	chrXII	649837	chrXIII	49008	13.60968771	0.081289509	0.007411396	19025	20656	0
CopperSulfate	11463	17522	chrVIII	210710	chrXI	619286	11.75959779	-0.081973832	0.006552079	11463	17510	0
CopperSulfate	17510	23293	chrXI	616713	chrXIV	390263	11.49099665	0.067477321	0.004777398	17510	23288	0
CopperSulfate	17510	19019	chrXI	616713	chrXII	647854	10.77417687	0.071343694	0.004312669	17510	19025	0
CopperSulfate	4960	20656	chrIV	601422	chrXIII	50109	9.808869483	-0.070407173	0.006343909	4979	20656	0
CopperSulfate	4979	11457	chrIV	605994	chrVIII	204657	9.514280799	-0.078892462	0.00659758	4979	11463	0
CopperSulfate	4958	23288	chrIV	601302	chrXIV	385702	8.639129812	0.061701632	0.00417496	4979	23288	0
CopperSulfate	18935	24570	chrXII	614740	chrXV	161464	7.1195642	0.054205046	0.002810306	19025	24570	0
CopperSulfate	4957	19025	chrIV	601251	chrXII	649837	6.792866615	0.064054438	0.003566556	4979	19025	0
CopperSulfate	4979	17589	chrIV	605994	chrXI	634424	6.278547248	-0.062439732	0.003885339	4979	17510	0
CopperSulfate	11463	21157	chrVIII	210710	chrXIII	210558	5.804384991	-0.038941927	0.001441869	11463	21245	0
CopperSulfate	19025	21150	chrXII	649837	chrXIII	202531	5.520879159	0.039452129	0.001349356	19025	21245	0
CopperSulfate	24189	25747	chrXV	60310	chrXV	558953	4.845068358	0.043873263	0.002076006	24029	25747	0
CopperSulfate	4599	18052	chrIV	369971	chrXII	192536	4.224162619	-0.034376648	0.001111545	4599	18008	0
CopperSulfate	5964	9471	chrIV	1416401	chrVII	425446	4.045903791	0.033828957	0.001159857	6169	9471	1
CopperSulfate	70	28034	chrI	40866	chrXVI	748874	3.957666697	-0.028346465	0.000795633	70	27668	1
CopperSulfate	13328	23288	chrX	38387	chrXIV	385702	3.897337383	0.033900149	0.001142302	12753	23288	1
CopperSulfate	4979	21156	chrIV	605994	chrXIII	209723	3.790663853	-0.028785875	0.00078043	4979	21245	0
CopperSulfate	11463	19527	chrVIII	210710	chrXII	775537	3.7689148	-0.00707083	4.02122E-05	11463	19025	1
Diamide	20651	24490	chrXIII	49588	chrXV	144887	6.589302954	0.04824403	0.002317226	20651	24344	0
Diamide	21212	27328	chrXIII	231391	chrXVI	375273	5.905850921	-0.039420342	0.001867774	21299	27328	0
Diamide	5428	11145	chrIV	963747	chrVIII	114337	5.599876602	0.044908067	0.002171571	5405	11145	0
Diamide	5051	16092	chrIV	678773	chrXI	209185	5.138678638	-0.042917965	0.001955329	5028	16092	0
Diamide	1977	24367	chrII	465618	chrXV	108576	4.948553608	0.043494419	0.001766505	1977	24344	0
Diamide	18869	20651	chrXII	607090	chrXIII	49588	4.533036506	0.039905463	0.001609595	19021	20651	0
Diamide	9480	21299	chrVII	432654	chrXIII	252178	4.488297664	0.033327682	0.001126745	9420	21299	0
Diamide	19021	21391	chrXII	648649	chrXIII	296838	4.091238067	0.036179359	0.001286329	19021	21299	0
E6-Berbamine	20660	23472	chrXIII	51084	chrXIV	467219	24.23494556	0.097726793	0.010669093	20660	23470	0
E6-Berbamine	12695	23463	chrIX	261221	chrXIV	463775	10.79095033	-0.053355137	0.003579413	12695	23462	0
E6-Berbamine	19032	23470	chrXII	657492	chrXIV	466588	9.542766977	0.052172295	0.004320872	19026	23470	0
E6-Berbamine	113	23470	chrI	49103	chrXIV	466588	9.18945246	0.063094905	0.003898119	114	23470	0
E6-Berbamine	23470	27033	chrXIV	466588	chrXVI	206288	6.805867523	-0.054892725	0.003058625	23470	27043	0
E6-Berbamine	14683	23452	chrX	507730	chrXIV	456295	6.324185486	-0.043621821	0.002329727	14683	23462	0
E6-Berbamine	19532	23470	chrXII	778284	chrXIV	466588	6.154844344	0.029114963	0.000677407	19026	23470	1
E6-Berbamine	18490	20664	chrXII	369482	chrXIII	51433	6.089805274	0.048230141	0.002498867	18490	20665	0
E6-Berbamine	6816	23470	chrV	213822	chrXIV	466588	5.984902524	0.041815057	0.001877804	7127	23470	1
E6-Berbamine	19026	20722	chrXII	650767	chrXIII	69109	5.974988091	0.040740324	0.001964735	19026	20665	0
E6-Berbamine	12695	20671	chrIX	261221	chrXIII	52494	5.359767631	-0.050644817	0.002466394	12695	20665	0
E6-Berbamine	19463	27819	chrXII	760025	chrXVI	561434	5.317378542	-0.047997699	0.002371136	19026	27819	1
E6-Berbamine	21160	23462	chrXIII	213972	chrXIV	463554	5.139646929	0.024005892	0.000594357	21433	23462	1
E6-Berbamine	17123	19026	chrXI	527820	chrXII	650767	4.006977867	-0.034245752	0.001195964	17160	19026	0
E6-Berbamine	575	12640	chrI	193500	chrIX	251208	3.979814671	-0.040418035	0.001609925	575	12695	0
Ethanol	19026	23473	chrXII	650767	chrXIV	468488	27.34399001	0.124860736	0.016967819	19026	23479	0
Ethanol	5668	19026	chrIV	1174544	chrXII	650767	7.083719238	-0.071142797	0.004964873	5760	19026	0
Ethanol	23253	25398	chrXIV	366593	chrXV	461793	6.723659876	0.069381321	0.005088454	23268	25398	0
Ethanol	17998	20272	chrXII	130729	chrXII	958253	5.505695321	0.060358918	0.003544954	19026	20272	1
Ethanol	17608	23268	chrXI	641599	chrXIV	372376	5.378320346	-0.057162816	0.003341122	16575	23268	1
Ethanol	17610	25398	chrXI	642730	chrXV	461793	5.061470713	0.063387272	0.004007811	16575	25398	1
Ethanol	19548	23278	chrXII	784477	chrXIV	376490	4.335572034	0.035822751	0.001266412	19026	23278	1
Ethanol	7128	23479	chrV	375017	chrXIV	473303	3.999182293	-0.044726799	0.001981734	7153	23479	0
Formamide	5460	11143	chrIV	1011936	chrVIII	113931	36.22799196	0.139066834	0.021418215	5450	11143	0
Formamide	5450	23480	chrIV	997624	chrXIV	473648	19.59508367	0.112847839	0.013360168	5450	23483	0
Formamide	20656	23468	chrXIII	50109	chrXIV	465187	16.73093126	0.092310285	0.009805955	20656	23483	0
Formamide	11143	23471	chrVIII	113931	chrXIV	467028	15.87394177	-0.097552445	0.009486551	11143	23483	0
Formamide	23286	23483	chrXIV	382896	chrXIV	481081	14.65975117	-0.084241013	0.00757472	23129	23483	0
Formamide	5695	27521	chrIV	1201621	chrXVI	458635	6.213922923	0.053049257	0.00306218	5695	27421	0
Formamide	11803	21031	chrVIII	440234	chrXIII	160611	6.145954141	0.053932063	0.003036949	11803	20656	1
Formamide	11143	21599	chrVIII	113931	chrXIII	409453	5.912779631	0.046997597	0.002419657	11143	21602	0
Formamide	24576	25826	chrXV	162197	chrXV	584081	5.25704376	0.048648092	0.002572363	24576	25748	0
Formamide	9118	15871	chrVII	229363	chrXI	138463	5.107625788	-0.051741478	0.002392968	9200	15871	0
Formamide	11932	27545	chrVIII	518945	chrXVI	466112	4.660752181	0.060103695	0.003659555	11932	27421	0
Formamide	3338	9795	chrIII	197306	chrVII	583615	4.495923954	0.039233524	0.001594683	3338	9773	0
Formamide	674	18080	chrII	47104	chrXII	228374	4.177545025	0.04480891	0.002073398	98	18080	1
Formamide	11119	11803	chrVIII	98622	chrVIII	440234	3.969811213	-0.030893962	0.000931211	11143	11803	0
Formamide	5012	16585	chrIV	622563	chrXI	359142	3.873699298	0.040623574	0.001632477	4825	16585	0
IndolaceticAcid	5452	11149	chrIV	998628	chrVIII	115977	47.15785678	0.178730126	0.032453662	5452	11145	0
IndolaceticAcid	3340	11145	chrIII	198615	chrVIII	114337	41.11456812	-0.167741129	0.027125193	3346	11145	0
IndolaceticAcid	11119	23474	chrVIII	98622	chrXIV	469224	33.96912919	-0.155580475	0.024771495	11145	23474	0
IndolaceticAcid	11146	21603	chrVIII	114567	chrXIII	410320	13.20403665	0.084824288	0.007602504	11145	21603	0
IndolaceticAcid	3340	5452	chrIII	198615	chrIV	998628	11.80606018	0.093315857	0.009130358	3346	5452	0
IndolaceticAcid	5461	23474	chrIV	1011970	chrXIV	469224	10.43016223	0.084519666	0.007505468	5452	23474	0
IndolaceticAcid	3328	23474	chrIII	191932	chrXIV	469224	6.393968205	-0.075123339	0.005977087	3346	23474	0
IndolaceticAcid	11145	24597	chrVIII	114337	chrXV	166007	5.190578107	-0.070278194	0.004339758	11145	24016	1
IndolaceticAcid	1742	23210	chrII	407571	chrXIV	335123	4.978036366	-0.053955673	0.002900472	1742	23474	1
IndolaceticAcid	3346	21503	chrIII	201978	chrXIII	379813	4.916557804	0.045615659	0.002387225	3346	21603	0
IndolaceticAcid	5452	21631	chrIV	998628	chrXIII	436769	4.374403445	-0.05175082	0.002862619	5452	21603	0
IndolaceticAcid	6633	11145	chrV	119209	chrVIII	114337	3.935307038	0.045775971	0.002072975	5868	11145	1
IndolaceticAcid	11145	18072	chrVIII	114337	chrXII	210539	3.880759236	-0.057580674	0.003405905	11145	19014	1
IndolaceticAcid	5868	17791	chrIV	1357789	chrXII	82033	3.808052716	-0.034792687	0.001197747	5868	19014	1
Lactate	24638	25752	chrXV	173080	chrXV	560432	10.94898629	0.068892854	0.0053092	24638	25743	0
Lactate	23470	24638	chrXIV	466588	chrXV	173080	9.496278372	-0.061045575	0.004131207	23472	24638	0
Lactate	5559	23276	chrIV	1059983	chrXIV	376313	8.801267854	-0.071573154	0.005221401	5576	23276	0
Lactate	19464	24638	chrXII	760163	chrXV	173080	7.977104197	0.055759477	0.003768857	19439	24638	0
Lactate	19034	25743	chrXII	657602	chrXV	557623	5.909131787	-0.04553303	0.002439854	19067	25743	0
Lactate	19137	24039	chrXII	680974	chrXV	37812	5.643590803	0.038781329	0.001444893	19067	24039	0
Lactate	24039	25737	chrXV	37812	chrXV	553950	5.517731655	0.029683755	0.000950496	24039	25743	0
Lactate	5436	11033	chrIV	974630	chrVIII	71740	5.194028394	-0.039645776	0.001515181	5436	11402	1
Lactate	8809	25787	chrVII	128648	chrXV	571939	4.907542885	-0.048213713	0.0023336	8809	25743	0
Lactate	24638	25004	chrXV	173080	chrXV	363974	4.649862286	-0.053748673	0.003124299	24638	25064	0
Lactate	15517	24039	chrXI	54204	chrXV	37812	3.945065676	0.039921094	0.001631422	15357	24039	0
Lactate	14802	25743	chrX	546530	chrXV	557623	3.90504522	-0.039490346	0.001606815	14787	25743	0
Lactate	19856	25743	chrXII	835800	chrXV	557623	3.831755114	-0.031661824	0.000911152	20227	25743	1
Lactate	9495	24638	chrVII	435577	chrXV	173080	3.802810859	0.038412915	0.001476437	9626	24638	0
Lactate	5645	11774	chrIV	1150691	chrVIII	425823	3.795537461	-0.037446058	0.001371677	5645	11971	0
Lactose	5563	23276	chrIV	1064285	chrXIV	376313	8.586076708	-0.075993618	0.00632005	5506	23276	0
Lactose	19025	25794	chrXII	649837	chrXV	573377	8.569901439	-0.065307074	0.005110618	19025	25753	0
Lactose	19025	23459	chrXII	649837	chrXIV	461485	6.769881774	0.058309079	0.004072684	19025	23475	0
Lactose	9514	23276	chrVII	448106	chrXIV	376313	5.084574747	0.059543542	0.003215427	9626	23276	0
Lactose	12403	23262	chrIX	160170	chrXIV	370870	5.01398367	0.045246047	0.002107075	12365	23262	0
Lactose	5424	10949	chrIV	962545	chrVIII	49107	4.775040448	-0.059670365	0.003313947	5424	10020	1
Lactose	24928	25753	chrXV	318136	chrXV	560610	4.47882019	0.05574328	0.003055537	25058	25753	0
Lactose	20785	23262	chrXIII	82027	chrXIV	370870	4.432644454	0.050474657	0.002646393	20861	23262	0
Lactose	23185	25058	chrXIV	322680	chrXV	379848	4.401603141	0.050425577	0.002417078	23262	25058	0
Lactose	24731	27886	chrXV	212987	chrXVI	616089	4.372218485	0.043405206	0.001957673	24641	27886	0
Lactose	5641	14413	chrIV	1149030	chrX	395805	4.338586745	-0.041174656	0.001670374	5641	14622	1
MagnesiumChloride	8828	24553	chrVII	134716	chrXV	158074	5.674319377	0.067356903	0.004413816	8803	24553	0
MagnesiumChloride	23483	25644	chrXIV	481081	chrXV	519516	5.232253981	-0.05137041	0.002641112	23488	25644	0
MagnesiumChloride	11950	17667	chrIX	29414	chrXII	24051	3.993531535	-0.052806344	0.002772518	11950	18005	1
ManganeseSulfate	9008	24244	chrVII	188827	chrXV	76985	35.16863511	0.101464839	0.013286739	9008	24248	0
ManganeseSulfate	19031	25747	chrXII	657332	chrXV	558953	17.09213028	-0.072653293	0.006972467	19031	25825	0
ManganeseSulfate	19019	24488	chrXII	647854	chrXV	144354	13.45345737	-0.049758151	0.004440342	19031	24488	0
ManganeseSulfate	2123	9008	chrII	503310	chrVII	188827	11.36715597	-0.053164089	0.003280062	1951	9008	0
ManganeseSulfate	10508	20579	chrVII	958252	chrXIII	27643	9.761885762	0.061413575	0.004154749	10577	20579	0
ManganeseSulfate	20579	23488	chrXIII	27643	chrXIV	487250	9.532184066	0.058522924	0.003621858	20579	23491	0
ManganeseSulfate	9008	19475	chrVII	188827	chrXII	761396	8.396902668	-0.034543884	0.00283576	9008	19031	1
ManganeseSulfate	9008	24744	chrVII	188827	chrXV	216247	7.622018268	0.02194594	0.000396452	9008	24730	0
ManganeseSulfate	20586	27763	chrXIII	28986	chrXVI	520764	7.387087916	-0.051632012	0.002916579	20579	27763	0
ManganeseSulfate	9035	25825	chrVII	196840	chrXV	583715	7.228643074	-0.048604461	0.002463159	9008	25825	0
ManganeseSulfate	9008	18975	chrVII	188827	chrXII	630568	6.648287761	-0.032587061	0.000896864	9008	19031	0
ManganeseSulfate	9043	21327	chrVII	198286	chrXIII	264400	6.452548968	0.036287675	0.001349126	9008	21327	0
ManganeseSulfate	14539	19546	chrX	456997	chrXII	783530	6.279328191	0.030176099	0.001329834	14539	19031	1
ManganeseSulfate	9008	15139	chrVII	188827	chrX	664824	6.121387564	0.041431784	0.0019898	9008	15068	0
ManganeseSulfate	54	8931	chrI	37976	chrVII	164774	5.503812179	-0.032574124	0.00112676	54	9008	0
ManganeseSulfate	10146	23429	chrVII	855417	chrXIV	437955	5.383715392	0.046326696	0.001991981	10146	23491	0
ManganeseSulfate	9008	10123	chrVII	188827	chrVII	848849	5.265240403	-0.04581772	0.001954991	9008	10146	0
ManganeseSulfate	1551	9008	chrII	355836	chrVII	188827	5.059533729	-0.021315472	0.000405224	1951	9008	1
ManganeseSulfate	9030	23491	chrVII	196064	chrXIV	488598	5.03891157	-0.051739607	0.002446517	9008	23491	0
ManganeseSulfate	588	9008	chrI	195677	chrVII	188827	5.012714136	0.045993678	0.002111852	557	9008	0
ManganeseSulfate	19031	25125	chrXII	657332	chrXV	396447	4.930549165	-0.020671534	0.000442372	19031	25115	0
ManganeseSulfate	19532	24488	chrXII	778284	chrXV	144354	4.889705971	-0.016363724	0.000225145	19031	24488	1
ManganeseSulfate	19533	25825	chrXII	779222	chrXV	583715	4.699892347	-0.011127077	0.000131304	19031	25825	1
ManganeseSulfate	8565	24488	chrVII	61936	chrXV	144354	4.281441692	0.01282799	0.000119084	9008	24488	1
ManganeseSulfate	4575	24515	chrIV	363194	chrXV	148719	4.153776743	0.033336309	0.001074086	4662	24515	0
ManganeseSulfate	9008	27184	chrVII	188827	chrXVI	280470	4.134318837	-0.035327975	0.001160304	9008	27381	0
ManganeseSulfate	5462	19031	chrIV	1012657	chrXII	657332	4.133406789	0.033816824	0.001173757	4662	19031	1
ManganeseSulfate	8779	9226	chrVII	123812	chrVII	307064	4.003121501	0.028070448	0.000736883	9008	9226	1
ManganeseSulfate	24515	25752	chrXV	148719	chrXV	560432	3.982885764	-0.039113845	0.001490316	24515	25825	0
Menadione	19026	24601	chrXII	650767	chrXV	166482	21.13874479	-0.084431179	0.009149106	19026	24636	0
Menadione	19529	24636	chrXII	777784	chrXV	172515	7.597508742	-0.015507891	0.000510818	19026	24636	1
Menadione	23277	25514	chrXIV	376435	chrXV	488270	6.985864144	0.055863048	0.00336027	23277	25747	1
Menadione	18862	23277	chrXII	601489	chrXIV	376435	6.357974352	0.057333691	0.003828874	18813	23277	0
Menadione	20040	24676	chrXII	880035	chrXV	189231	5.182643604	-0.025264491	0.00078482	20040	24636	0
Menadione	15115	19026	chrX	659898	chrXII	650767	4.879203837	0.054384307	0.002841704	15020	19026	0
Menadione	3341	11039	chrIII	201173	chrVIII	72697	4.470596682	-0.044049219	0.002018368	3341	11125	0
Menadione	7941	19026	chrVI	91902	chrXII	650767	4.389376133	-0.046145969	0.002290529	8056	19026	0
Menadione	10285	23015	chrVII	894512	chrXIV	213126	4.129324147	0.035837501	0.001416849	9882	23015	1
Menadione	12409	24388	chrIX	166175	chrXV	111851	4.062655336	-0.03674658	0.001380676	12409	24636	1
Menadione	5554	23275	chrIV	1059094	chrXIV	374659	3.996682604	0.043113772	0.001924639	5554	23277	0
Menadione	21612	25747	chrXIII	416929	chrXV	558953	3.987901784	0.041586157	0.001754307	21443	25747	0
Menadione	13766	24503	chrX	128646	chrXV	146782	3.95963287	0.038868555	0.001485797	13766	24636	0
Neomycin	21327	23264	chrXIII	264400	chrXIV	371336	28.87988845	0.095002409	0.010363996	21327	23277	0
Neomycin	576	21294	chrI	194101	chrXIII	251274	16.88327606	0.081426564	0.006421127	576	21327	0
Neomycin	12693	21366	chrIX	260769	chrXIII	284673	15.0805175	-0.07339106	0.006099021	12693	21327	0
Neomycin	4923	21327	chrIV	591435	chrXIII	264400	8.715058443	-0.058444856	0.003623268	5032	21327	0
Neomycin	23277	23441	chrXIV	376435	chrXIV	445983	8.647702549	0.048403345	0.002373053	23277	23470	0
Neomycin	192	7170	chrI	60384	chrV	408422	8.20002517	0.046274745	0.002683947	192	7101	0
Neomycin	15109	23282	chrX	658561	chrXIV	379436	6.544522539	0.044237844	0.001880458	15109	23277	0
Neomycin	20632	21327	chrXIII	44455	chrXIII	264400	6.251940347	0.059494325	0.003476503	20682	21327	0
Neomycin	14729	21327	chrX	520808	chrXIII	264400	6.154425274	-0.040777864	0.002037831	14685	21327	0
Neomycin	15553	21340	chrXI	67872	chrXIII	274105	6.124706736	0.05132449	0.002542097	15553	21327	0
Neomycin	3354	21327	chrIII	213859	chrXIII	264400	5.679264657	-0.051749366	0.002548052	3379	21327	0
Neomycin	19311	24673	chrXII	717181	chrXV	185473	5.623158198	-0.037377065	0.001322544	19066	24673	1
Neomycin	5414	23277	chrIV	959283	chrXIV	376435	5.596994945	0.040957028	0.001647989	5303	23277	0
Neomycin	12693	22996	chrIX	260769	chrXIV	207451	5.424516402	0.036930949	0.001323812	12693	23158	0
Neomycin	11126	21327	chrVIII	101246	chrXIII	264400	5.406032774	-0.049233762	0.002415146	11073	21327	0
Neomycin	22345	25803	chrXIII	777456	chrXV	577639	5.065196578	0.031367204	0.000915594	22345	25748	0
Neomycin	574	23277	chrI	193452	chrXIV	376435	4.796839137	-0.043784188	0.00202336	576	23277	0
Neomycin	18217	21143	chrXII	261101	chrXIII	195968	4.701557737	0.029088173	0.000913463	18204	21143	0
Neomycin	13848	21327	chrX	159755	chrXIII	264400	4.241811521	0.037612162	0.001472972	13668	21327	0
Neomycin	24250	27011	chrXV	79026	chrXVI	191331	4.182367472	0.027366913	0.000662615	24250	27044	0
Neomycin	7143	23277	chrV	391916	chrXIV	376435	4.120859773	-0.037648831	0.001444169	7101	23277	0
Neomycin	4265	14112	chrIV	248088	chrX	316590	3.961256708	-0.032526102	0.001016307	4265	13668	1
Neomycin	9626	21266	chrVII	477177	chrXIII	242460	3.806057582	0.038134705	0.001437572	9626	21327	0
Raffinose	19024	25735	chrXII	649258	chrXV	553150	11.65644077	-0.067237985	0.006045663	19024	25753	0
Raffinose	5437	23424	chrIV	974990	chrXIV	422746	8.72713507	-0.063720701	0.00443251	5437	23475	0
Raffinose	23475	25829	chrXIV	469870	chrXV	585644	7.32297792	0.05227258	0.003127763	23475	25753	0
Raffinose	24677	25753	chrXV	189241	chrXV	560610	7.213792569	0.068757106	0.003566865	24765	25753	0
Raffinose	7149	23475	chrV	394151	chrXIV	469870	7.036573917	-0.048346707	0.002906261	7074	23475	0
Raffinose	11102	23276	chrVIII	95481	chrXIV	376313	6.835645192	0.056718438	0.003595779	10947	23276	0
Raffinose	23427	25047	chrXIV	433148	chrXV	377037	6.802941595	0.049461964	0.00253183	23475	25047	0
Raffinose	19024	21603	chrXII	649258	chrXIII	410320	6.359799234	0.05365971	0.002632284	19024	22084	1
Raffinose	5437	6585	chrIV	974990	chrV	83548	4.96519302	0.042490282	0.001837902	5437	6653	0
Raffinose	23173	23475	chrXIV	309212	chrXIV	469870	4.956415642	0.048649467	0.002181399	23276	23475	0
Raffinose	20715	24533	chrXIII	64724	chrXV	153317	4.737974615	-0.042600891	0.002014843	20572	24533	0
Raffinose	20572	25881	chrXIII	25025	chrXV	593851	4.684793703	0.047893078	0.00231789	20572	25753	0
Raffinose	24533	25071	chrXV	153317	chrXV	385035	4.15618871	-0.056479182	0.003163184	24533	25047	0
Raffinose	9120	18553	chrVII	229803	chrXII	425540	4.034634879	0.035927551	0.001294273	9120	18815	1
Raffinose	11986	24533	chrIX	36359	chrXV	153317	3.821367438	-0.038797539	0.001479189	11971	24533	0
Trehalose	5561	23277	chrIV	1062037	chrXIV	376435	7.78674548	-0.064668714	0.004235736	5448	23277	0
Trehalose	20572	25836	chrXIII	25025	chrXV	586143	4.878248299	0.057481945	0.003133694	20572	26047	1
Trehalose	6108	14829	chrIV	1465643	chrX	556366	4.610436749	-0.046594584	0.002371783	6108	14845	0
Trehalose	23486	24644	chrXIV	485549	chrXV	174201	4.346590914	-0.046470755	0.002184977	23479	24644	0
Trehalose	19395	23439	chrXII	742202	chrXIV	442736	4.235812145	0.042028258	0.001782331	19395	23479	0
Trehalose	5007	23479	chrIV	620108	chrXIV	473303	3.959440074	0.04037498	0.001606272	5081	23479	0
Xylose	23470	25824	chrXIV	466588	chrXV	583591	12.5379447	0.081740854	0.006839049	23471	25824	0
Xylose	19032	23471	chrXII	657492	chrXIV	467028	8.936845087	0.073455038	0.005329375	19104	23471	0
Xylose	19025	25824	chrXII	649837	chrXV	583591	8.585522248	-0.067651994	0.004187621	19104	25824	0
Xylose	20658	23471	chrXIII	50890	chrXIV	467028	7.402856358	0.063629891	0.00420417	20568	23471	0
Xylose	24027	25808	chrXV	35915	chrXV	578365	5.565967887	0.054043426	0.003206641	24027	25824	0
Xylose	23287	23471	chrXIV	383709	chrXIV	467028	4.548250959	-0.047997253	0.002195088	23277	23471	0
Xylose	20720	24632	chrXIII	67415	chrXV	171745	4.52338075	-0.037480522	0.002603901	20568	24632	0
Xylose	23471	24648	chrXIV	467028	chrXV	174675	4.501554325	-0.047354217	0.002328239	23471	24632	0
Xylose	22922	25155	chrXIV	148156	chrXV	410064	4.280770594	0.054345866	0.002902466	22984	25155	0
Xylose	19432	24265	chrXII	753079	chrXV	87033	4.244749245	0.051383282	0.002819421	19432	24027	1
Xylose	20854	24027	chrXIII	99880	chrXV	35915	4.235163805	-0.041487685	0.00156877	20568	24027	1
Xylose	19432	21191	chrXII	753079	chrXIII	226822	3.750087702	-0.044395167	0.001949261	19432	21440	1
YNB	5563	23281	chrIV	1064285	chrXIV	377751	13.54441373	0.076427413	0.006379693	5563	23277	0
YNB	24624	25752	chrXV	170583	chrXV	560432	6.161073772	-0.047002042	0.002236957	24624	25828	0
YNB	1279	23266	chrII	249967	chrXIV	371957	5.181821347	0.050819062	0.002534857	1279	23277	0
YNB	101	24624	chrI	46723	chrXV	170583	4.341154074	0.045403359	0.00204781	78	24624	0
YNB	9887	13968	chrVII	668812	chrX	204436	3.756814963	-0.043807103	0.001897107	9691	13968	0
YPD	24535	25772	chrXV	154073	chrXV	566834	19.91500528	-0.062143434	0.00619712	24634	25772	0
YPD	5495	23277	chrIV	1051307	chrXIV	376435	14.64080754	0.078063823	0.006182026	5761	23277	1
YPD	23277	23480	chrXIV	376435	chrXIV	473648	14.47198189	-0.064600823	0.004617279	23277	23480	0
YPD	12079	24634	chrIX	53832	chrXV	172102	9.69925915	0.057767253	0.00348387	12116	24634	0
YPD	24016	25747	chrXV	34108	chrXV	558953	8.948298361	-0.030768237	0.000915814	24016	25772	0
YPD	125	24578	chrI	51095	chrXV	162379	8.432152834	0.056795326	0.003174967	125	24634	0
YPD	23276	25737	chrXIV	376313	chrXV	553950	8.377162612	-0.056256437	0.003346279	23276	25772	0
YPD	12287	25614	chrIX	122617	chrXV	514738	5.215897778	0.046588616	0.00223716	12287	25772	0
YPD	11147	24044	chrVIII	114934	chrXV	38224	4.557161364	-0.038737856	0.001502614	11147	24016	0
YPD	24634	25277	chrXV	172102	chrXV	433431	4.512163822	-0.019613837	0.000356609	24634	25330	0
YPD	1259	23429	chrII	245305	chrXIV	437955	4.130600753	0.04066221	0.001601148	1259	23480	0
YPD	12287	15620	chrIX	122617	chrXI	84020	4.025593528	-0.028661148	0.000980092	12287	15964	1
YPD	19031	25731	chrXII	657332	chrXV	552421	3.958549799	0.035725511	0.001284442	19031	25772	0
YPD	15586	26639	chrXI	78639	chrXV	995180	3.933395695	0.041160136	0.001696745	15964	26639	1
